id;date_of_last_stock_check;name;amount;perishable;amount_expirable_in_next_3_months;created_by_user_id;created_date
1;2019-10-30;Armenia panel Rustic;68529;true;9187;81778;2019-10-29T19:23:43
2;2019-10-30;Avon copying;73280;false;54223;75818;2019-10-30T04:23:24
3;2019-10-30;Money Market Account Awesome;15156;true;9375;87332;2019-10-30T04:42:22
4;2019-10-30;index Keyboard Overpass;933;true;24667;74171;2019-10-30T01:07:24
5;2019-10-29;attitude-oriented maroon SAS;65756;false;31092;55508;2019-10-30T00:44:31
6;2019-10-30;Home Loan Account magenta dynamic;78379;true;55422;52415;2019-10-30T18:25:57
7;2019-10-29;backing up calculating Electronics;74954;true;75867;36794;2019-10-30T02:16:38
8;2019-10-30;Pizza implementation XML;99633;false;36830;38537;2019-10-30T07:47:30
9;2019-10-30;optical plum Cotton;66304;false;187;69561;2019-10-30T14:16:38
10;2019-10-30;Savings Account;35549;false;79419;38767;2019-10-30T16:19:35
