id;salesforce_uid;event_name;event_date;event_description;event_banner;event_banner_content_type;event_picture_one;event_picture_one_content_type;event_pricture_two;event_pricture_two_content_type;location_coordinate_x;location_coordinate_y;attendees;maximum_attendees;created_by_user_id;created_date
1;California Usability;payment;2019-10-30T00:26:32;Hat;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;40947;9667;42268;45037;82180;2019-10-30T00:24:37
2;B2C;Consultant Via;2019-10-30T09:22:39;Cotton;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;97416;15241;2002;99248;73718;2019-10-29T20:18:37
3;Dominican Republic quantifying Benin;Cloned 1080p;2019-10-29T21:48:21;Auto Loan Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;50683;78202;15930;70874;6310;2019-10-30T17:41:25
4;contingency;viral;2019-10-30T09:24:59;plug-and-play;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;23905;55380;50972;30552;82528;2019-10-30T09:01:50
5;Village;XML Sausages;2019-10-29T23:41:15;Wyoming Texas;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;39104;20851;50115;93059;39717;2019-10-30T15:45:55
6;quantifying whiteboard;Syrian Arab Republic transmitter Soft;2019-10-30T13:28:14;bypassing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;32252;40298;2289;17352;15379;2019-10-30T01:52:46
7;compelling;North Carolina Creative Connecticut;2019-10-30T07:03:13;synergy Investment Account Rubber;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;89826;76480;82933;17483;31753;2019-10-30T06:29:48
8;revolutionize Metal leading-edge;Brooks;2019-10-30T06:24:42;Versatile;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;7996;54952;77672;96582;12203;2019-10-30T08:10:41
9;task-force Cambridgeshire;attitude-oriented quantifying;2019-10-30T18:33:00;Kids;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;60255;65020;36479;15202;38646;2019-10-30T17:05:08
10;digital Ferry;Cambridgeshire;2019-10-30T00:27:22;Credit Card Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;29735;98367;43033;23918;17066;2019-10-30T15:08:39
