id;active_further_info;banner_picture;banner_picture_content_type;banner_name;header_one;description_one;picture_one;picture_one_content_type;description_two;picture_two;picture_two_content_type;description_three;picture_three;picture_three_content_type;bottom_picture;bottom_picture_content_type;bottom_description;button_text;button_url;created_by_user_id;created_date
1;false;../fake-data/blob/hipster.png;image/png;Organic;Cheese Steel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;43385;2019-10-30T02:57:48
2;false;../fake-data/blob/hipster.png;image/png;Personal Loan Account;HTTP explicit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Personal Loan Account;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;58577;2019-10-30T03:17:03
3;true;../fake-data/blob/hipster.png;image/png;North Dakota incubate deposit;haptic parsing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;revolutionize Branding;teal analyzing yellow;Books Generic;68300;2019-10-30T10:28:50
4;false;../fake-data/blob/hipster.png;image/png;functionalities quantifying;wireless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;73507;2019-10-30T08:31:38
5;true;../fake-data/blob/hipster.png;image/png;intermediate Table quantify;Wyoming interface Cotton;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;quantify;JSON Texas;bandwidth;75087;2019-10-30T00:48:00
6;true;../fake-data/blob/hipster.png;image/png;Fantastic;Liechtenstein Buckinghamshire monetize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Direct;Small Frozen Salad bypassing;time-frame Quality;95060;2019-10-30T06:58:38
7;true;../fake-data/blob/hipster.png;image/png;deposit Common;Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;35091;2019-10-30T01:37:05
8;false;../fake-data/blob/hipster.png;image/png;Metal program Auto Loan Account;bypassing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;81279;2019-10-30T12:52:38
9;true;../fake-data/blob/hipster.png;image/png;Planner navigate repurpose;Buckinghamshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;11752;2019-10-29T22:48:39
10;true;../fake-data/blob/hipster.png;image/png;synthesize Idaho Markets;Glen Refined;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;99296;2019-10-29T20:29:57
