id;active_message;banner_picture;banner_picture_content_type;banner_name;heading_one;description_one;quote_picture;quote_picture_content_type;quote_content;header_two;description_two;bottom_picture;bottom_picture_content_type;bottom_description;button_text;button_url;created_by_user_id;created_date
1;true;../fake-data/blob/hipster.png;image/png;cross-platform access;Public-key;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;infomediaries;Investment Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Games Regional Digitized;copy convergence;20794;2019-10-30T05:26:12
2;true;../fake-data/blob/hipster.png;image/png;Industrial;connect Markets Chief;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;capacitor archive;sky blue Tasty Plastic Pizza;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;compress South Georgia and the South Sandwich Islands;compelling mission-critical;54269;2019-10-30T11:56:01
3;false;../fake-data/blob/hipster.png;image/png;back-end;Industrial;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;index orange;Jewelery;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;monitor;1080p Checking Account Identity;65107;2019-10-30T15:46:36
4;true;../fake-data/blob/hipster.png;image/png;generating Highway Ergonomic;moratorium moratorium;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;New York tangible Mississippi;Frozen bus;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;hard drive Robust Networked;Poland;42754;2019-10-30T15:53:46
5;false;../fake-data/blob/hipster.png;image/png;Intelligent Outdoors;Harbor Montana;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Corporate Phased relationships;white Brand Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Salad Web virtual;Refined Squares;21844;2019-10-30T14:04:48
6;false;../fake-data/blob/hipster.png;image/png;EXE projection Fresh;support Gorgeous;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;withdrawal;copying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;ability Hat Iraq;magenta Concrete;33761;2019-10-30T12:41:55
7;true;../fake-data/blob/hipster.png;image/png;conglomeration;Oklahoma facilitate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Engineer;Exclusive Moroccan Dirham card;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;zero tolerance;mission-critical;97661;2019-10-30T06:29:36
8;false;../fake-data/blob/hipster.png;image/png;Home;Investor Public-key;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Lebanon;Designer Persistent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;2019-10-29T22:57:48
9;false;../fake-data/blob/hipster.png;image/png;hacking installation magenta;HDD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Algerian Dinar;firewall;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;67569;2019-10-30T10:22:19
10;true;../fake-data/blob/hipster.png;image/png;azure;SMS Enhanced;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Bacon Designer;Equatorial Guinea Vision-oriented;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Agent;Human deposit;33902;2019-10-30T11:51:53
