id;active_message;banner_picture;banner_picture_content_type;date_of_news_creation;banner_name;description_one;picture_one;picture_one_content_type;description_two;picture_two;picture_two_content_type;description_three;picture_three;picture_three_content_type;bottom_picture;bottom_picture_content_type;bottom_description;button_text;button_url;created_by_user_id;created_date
1;false;../fake-data/blob/hipster.png;image/png;2019-10-30T01:44:57;programming SCSI drive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;54873;2019-10-30T06:54:11
2;true;../fake-data/blob/hipster.png;image/png;2019-10-30T07:47:44;Manager Fish;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Networked;Fish;payment calculating;65761;2019-10-30T11:09:51
3;true;../fake-data/blob/hipster.png;image/png;2019-10-30T05:32:13;Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;57690;2019-10-30T02:30:13
4;false;../fake-data/blob/hipster.png;image/png;2019-10-29T21:49:04;Re-contextualized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;local Shoes;Intelligent Frozen Sausages Villages;Human;37015;2019-10-30T00:36:45
5;false;../fake-data/blob/hipster.png;image/png;2019-10-29T19:41:03;hardware Venezuela Wisconsin;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;57006;2019-10-30T16:52:04
6;false;../fake-data/blob/hipster.png;image/png;2019-10-30T13:32:37;Zambian Kwacha intuitive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Bedfordshire;portal calculating Metal;real-time discrete redundant;81011;2019-10-30T12:24:32
7;true;../fake-data/blob/hipster.png;image/png;2019-10-30T03:52:53;Sleek Beauty Auto Loan Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;3594;2019-10-30T10:40:55
8;false;../fake-data/blob/hipster.png;image/png;2019-10-30T14:50:12;Specialist generating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;8534;2019-10-29T22:20:58
9;false;../fake-data/blob/hipster.png;image/png;2019-10-30T13:53:33;relationships Philippine Peso;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;panel;Analyst card Licensed Cotton Ball;mindshare Gorgeous;2535;2019-10-30T14:08:01
10;true;../fake-data/blob/hipster.png;image/png;2019-10-30T16:37:00;infomediaries Som Rustic Frozen Keyboard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;61172;2019-10-30T01:02:13
