id;date_of_non_feeding;reason_for_non_feeding;created_by_user_id;created_date
1;2019-10-30T08:54:09;RSS Borders;72340;2019-10-30T17:00:06
2;2019-10-30T16:03:32;Organic Kwacha;5280;2019-10-30T04:04:28
3;2019-10-30T06:52:48;Auto Loan Account Money Market Account Sports;32210;2019-10-30T06:36:00
4;2019-10-30T03:16:57;Car;69541;2019-10-30T10:32:11
5;2019-10-30T00:39:22;Developer indigo connecting;52029;2019-10-30T07:59:36
6;2019-10-30T09:35:42;Plastic;73550;2019-10-30T08:08:30
7;2019-10-30T12:53:51;architect;6254;2019-10-30T04:12:03
8;2019-10-29T23:19:32;parse capacitor model;17348;2019-10-30T08:26:54
9;2019-10-30T03:15:25;Buckinghamshire Computer;68591;2019-10-30T08:43:14
10;2019-10-29T18:46:17;navigate hard drive Intranet;20293;2019-10-30T14:07:51
