id;salesforce_uid;legacy_school_id;school_name;sponsored;attendance_total;attendance_boys;attendance_girls;enrolment_total;location_coordinate_x;location_coordinate_y;image_banner;image_banner_content_type;text_banner;image_one;image_one_content_type;image_two;image_two_content_type;image_three;image_three_content_type;image_four;image_four_content_type;date_of_last_stock_check;created_by_user_id;created_date
1;Soft;attitude-oriented;Saudi Riyal;false;61805;50942;63318;99669;22889;81397;../fake-data/blob/hipster.png;image/png;Savings Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;17375;2019-10-30T03:35:05
2;Suriname models;optical;Ports pink;false;52550;41412;48163;82753;17688;73361;../fake-data/blob/hipster.png;image/png;parse Computers;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;13380;2019-10-30T07:00:21
3;Jewelery logistical;Belize Dollar sky blue Savings Account;Sports;false;62929;97587;19885;80153;6461;95957;../fake-data/blob/hipster.png;image/png;Berkshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;26585;2019-10-30T05:24:26
4;Mill compressing;Shoes;Pizza;false;24347;73735;65171;47601;81068;37588;../fake-data/blob/hipster.png;image/png;exploit Key;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-29;95622;2019-10-29T21:08:54
5;Security;withdrawal Quality redundant;Extended;true;93031;3842;25305;90176;78117;46147;../fake-data/blob/hipster.png;image/png;withdrawal withdrawal District;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;22696;2019-10-30T03:49:26
6;Practical Granite Salad Computer matrix;bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;true;50857;73750;38759;35325;46194;29653;../fake-data/blob/hipster.png;image/png;holistic reboot invoice;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;35484;2019-10-30T14:22:46
7;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account;false;66735;20568;1042;12138;25541;61501;../fake-data/blob/hipster.png;image/png;bypass;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;95982;2019-10-30T05:49:51
8;Unbranded Frozen Gloves back-end;Wall;Investment Account;true;92029;74807;52076;81176;61649;65647;../fake-data/blob/hipster.png;image/png;Steel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;11080;2019-10-29T20:17:03
9;Compatible seize;Japan maximize;Response;false;92831;12150;67598;19747;49604;88692;../fake-data/blob/hipster.png;image/png;invoice;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;67145;2019-10-29T22:58:32
10;SCSI;Universal Egypt invoice;Wall;true;74819;72849;55781;77644;18059;65616;../fake-data/blob/hipster.png;image/png;Gloves;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2019-10-30;75318;2019-10-29T18:55:34
